Seq;Power W;BatBMS V;BatCHG V;GRID V;GRID A;BatPers %;BatCur A;CHG AH;DIS AH;Pv AH;Site AH
8652; 625;55.20;53.39;234.10;0.00;   76;-0.57;  0.86;14.39;41.35;2522.97
8662; 632;55.20;53.39;233.70;0.00;   76;-0.56;  0.86;14.39;41.35;2522.97
8672; 627;53.69;53.39;234.40;0.00;   76;-0.57;  0.86;14.39;41.35;2522.97
8682; 575;55.20;53.39;234.50;0.00;   76;-0.56;  0.86;14.39;41.35;2522.97
8692; 577;55.20;53.39;234.80;0.00;   76;-0.57;  0.86;14.39;41.35;2522.97
8702; 583;55.20;53.39;235.30;0.00;   76;-0.55;  0.87;14.39;41.39;2533.16
8712; 576;55.20;53.39;235.50;0.00;   76;-0.55;  0.87;14.39;41.39;2533.16
8722; 572;55.20;53.39;234.50;0.00;   76;-0.55;  0.87;14.39;41.39;2533.16
8732; 519;55.20;53.39;235.30;0.00;   76;-0.55;  0.87;14.39;41.39;2533.16
8742; 512;55.20;53.39;235.20;0.00;   76;-0.55;  0.87;14.39;41.39;2533.16
8752; 517;53.69;53.39;236.00;0.00;   76;-0.56;  0.87;14.39;41.39;2533.16
8762; 513;53.69;53.38;234.90;0.00;   76;-0.55;  0.88;14.39;41.42;2542.25
8772; 512;53.69;53.39;235.50;0.00;   76;-0.55;  0.88;14.39;41.42;2542.25
8782; 512;55.20;53.39;235.30;0.00;   76;-0.56;  0.88;14.39;41.42;2542.25
8792; 511;53.68;53.38;235.50;0.00;   76;-0.54;  0.88;14.39;41.42;2542.25
8802; 513;53.69;53.39;234.90;0.00;   76;-0.54;  0.88;14.39;41.42;2542.25
8812; 515;53.69;53.39;235.60;0.00;   76;-0.57;  0.88;14.39;41.42;2542.25
8822; 516;53.69;53.39;235.70;0.00;   76;-0.58;  0.89;14.39;41.45;2550.80
8832; 516;53.69;53.39;235.60;0.00;   76;-0.57;  0.89;14.39;41.45;2550.80
8842; 516;53.69;53.39;235.50;0.00;   76;-0.57;  0.89;14.39;41.45;2550.80
8852; 518;53.69;53.39;235.70;0.00;   76;-0.56;  0.89;14.39;41.45;2550.80
8862; 521;55.20;53.39;236.00;0.00;   76;-0.56;  0.89;14.39;41.45;2550.80
8872; 516;55.20;53.39;236.10;0.00;   76;-0.57;  0.89;14.39;41.45;2550.80
8882; 514;53.69;53.39;236.30;0.00;   76;-0.56;  0.90;14.39;41.49;2559.41
8892; 513;53.69;53.39;236.00;0.00;   76;-0.56;  0.90;14.39;41.49;2559.41
8902; 605;55.20;53.39;235.30;0.00;   76;-0.56;  0.90;14.39;41.49;2559.41
8912; 514;53.69;53.39;235.60;0.00;   76;-0.57;  0.90;14.39;41.49;2559.41
8922; 512;53.69;53.40;235.60;0.00;   76;-0.56;  0.90;14.39;41.49;2559.41
8932; 515;53.69;53.39;235.50;0.00;   76;-0.57;  0.90;14.39;41.49;2559.41
8942; 512;53.69;53.39;235.60;0.00;   76;-0.55;  0.91;14.39;41.52;2568.12
8952; 511;55.20;53.39;235.50;0.00;   76;-0.54;  0.91;14.39;41.52;2568.12
8962; 513;53.69;53.39;235.30;0.00;   76;-0.57;  0.91;14.39;41.52;2568.12
8972; 512;55.20;53.39;236.00;0.00;   76;-0.54;  0.91;14.39;41.52;2568.12
8982; 615;53.69;53.39;236.10;0.00;   76;-0.56;  0.91;14.39;41.52;2568.12
8992; 511;55.20;53.39;236.00;0.00;   76;-0.57;  0.91;14.39;41.52;2568.12
9002; 513;53.69;53.39;236.00;0.00;   76;-0.56;  0.92;14.39;41.55;2576.77
9012; 515;53.69;53.39;235.50;0.00;   76;-0.55;  0.92;14.39;41.55;2576.77
9022; 618;55.20;53.39;235.20;0.00;   76;-0.55;  0.92;14.39;41.55;2576.77
9032; 513;55.20;53.39;236.10;0.00;   76;-0.59;  0.92;14.39;41.55;2576.77
9042; 510;55.20;53.39;236.10;0.00;   76;-0.56;  0.92;14.39;41.55;2576.77
9052; 512;55.20;53.39;236.10;0.00;   76;-0.57;  0.92;14.39;41.55;2576.77
9062; 616;53.69;53.39;235.20;0.00;   76;-0.56;  0.92;14.39;41.58;2585.43
9072; 571;53.69;53.39;236.00;0.00;   76;-0.55;  0.92;14.39;41.58;2585.43
9082; 565;53.69;53.39;235.30;0.00;   76;-0.57;  0.92;14.39;41.58;2585.43
9092; 566;53.69;53.39;235.90;0.00;   76;-0.57;  0.92;14.39;41.58;2585.43
9102; 574;53.69;53.39;236.00;0.00;   76;-0.56;  0.92;14.39;41.58;2585.43
9112; 603;55.20;53.39;235.20;0.00;   76;-0.56;  0.92;14.39;41.58;2585.43
9122; 596;53.69;53.39;236.00;0.00;   76;-0.56;  0.93;14.39;41.62;2595.13
9132; 594;55.20;53.38;235.70;0.00;   76;-0.54;  0.93;14.39;41.62;2595.13
9142; 585;53.69;53.39;236.00;0.00;   76;-0.55;  0.93;14.39;41.62;2595.13
9152; 592;53.69;53.39;235.90;0.00;   76;-0.55;  0.93;14.39;41.62;2595.13
9162; 594;55.20;53.39;235.20;0.00;   76;-0.55;  0.93;14.39;41.62;2595.13
9172; 577;53.69;53.39;236.50;0.00;   76;-0.57;  0.93;14.39;41.62;2595.13
9182; 588;53.69;53.39;235.90;0.00;   76;-0.57;  0.94;14.39;41.65;2604.96
9192; 589;55.20;53.39;236.00;0.00;   76;-0.57;  0.94;14.39;41.65;2604.96
9202; 590;55.20;53.39;236.00;0.00;   76;-0.56;  0.94;14.39;41.65;2604.96
9212; 582;55.20;53.39;236.10;0.00;   76;-0.54;  0.94;14.39;41.65;2604.96
9222; 584;53.69;53.39;236.40;0.00;   76;-0.57;  0.94;14.39;41.65;2604.96
9232; 583;55.20;53.39;236.40;0.00;   76;-0.57;  0.94;14.39;41.65;2604.96
9242; 581;55.20;53.39;236.50;0.00;   76;-0.55;  0.95;14.39;41.68;2614.73
9252; 581;53.69;53.39;236.40;0.00;   76;-0.57;  0.95;14.39;41.68;2614.73
9262; 582;53.69;53.39;236.80;0.00;   76;-0.56;  0.95;14.39;41.68;2614.73
9272; 582;55.20;53.39;237.00;0.00;   76;-0.56;  0.95;14.39;41.68;2614.73
9282; 587;55.20;53.39;237.00;0.00;   76;-0.57;  0.95;14.39;41.68;2614.73
9292; 587;55.20;53.39;237.60;0.00;   76;-0.57;  0.95;14.39;41.68;2614.73
9302; 584;53.69;53.39;236.80;0.00;   76;-0.56;  0.96;14.39;41.72;2624.45
9312; 586;55.20;53.39;236.80;0.00;   76;-0.57;  0.96;14.39;41.72;2624.45
9322; 586;53.69;53.39;237.40;0.00;   76;-0.56;  0.96;14.39;41.72;2624.45
